11.21265,47.27599,"A12 E60"
2.74914,42.68267,"N116"
2.99962,42.70318," "
1.64766,42.80366,"E09 N20"
1.61016,42.86922,"E09 N20"
1.6353,43.0399,"E09 N20"
5.85073,43.12005,"A50"
1.6292,43.12205,"E09 N20"
5.91006,43.12643,"A50"
6.01145,43.14307,"A57"
5.77191,43.14628,"A50"
6.04604,43.20001,"A57"
6.08832,43.24492,"A57"
5.18523,43.36063,"D9"
0.31861,43.12483,"La Pyrénéenne"
5.26148,43.3915,"A55"
5.28612,43.3967,"Répartiteur des Pennes-Mirabeau"
5.28938,43.39808,"Répartiteur des Pennes-Mirabeau"
6.30978,43.39925,"La Provençale"
5.10133,43.40055,"A55"
5.3182,43.40472,"Autoroute du Soleil"
5.41987,43.43263,"D6"
4.94054,43.43876,"N568"
4.94024,43.44017,"N568"
5.24331,43.44531,"Autoroute du Soleil"
-1.38341,43.45153,"E80 D1"
-1.4236,43.46307,"E80 D1"
5.40732,43.47022," "
4.90671,43.47163,"N568"
1.34272,43.49078,"N117"
6.75684,43.50302,"La Provençale"
5.44228,43.5117,"La Provençale"
-1.20739,43.52238,"La Pyrénéenne"
4.00586,43.55425," "
5.44824,43.55799,"Avenue de la 1ère D.f.l."
5.45165,43.55947,"Avenue de la 1ère D.f.l."
1.36081,43.58874,"Rocade Arc-en-Ciel"
1.06966,43.60625," "
6.96857,43.61155,"Pénétrante Cannes Grasse"
3.95526,43.62105,"La Languedocienne"
4.74824,43.63071,"E80 N113"
3.76523,43.63069,"Avenue Justin Bec"
4.6697,43.65176,"E80 N113"
0.76233,43.6598,"N124"
7.16228,43.66021,"La Provençale"
-1.17564,43.70413,"Route de l'Océan"
7.32081,43.73649,"La Provençale"
-1.19976,43.80666,"E5 E70 N10"
-1.12902,43.90161,"E5 E70 N10"
-1.09288,43.93607,"E5 E70 N10"
-1.08358,43.94262,"E5 E70 N10"
4.93467,43.99514,"Route de Carpentras"
3.0884,44.12056,"D809"
-0.94197,44.18271,"E5 E70 N10"
-0.90252,44.25398,"E5 E70 N10"
-0.81874,44.42358,"E5 E70 N10"
-1.09308,44.77545,"D106"
-1.01831,44.77826,"D106"
